Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom
25	-45.7611311725708	-26.3789520558166	-45.9773391698557	-26.4268523757992
25.5	-43.4206937235062	-27.3875369159031	-57.0374575020347	-27.3922469899543
26	-41.7064122420344	-31.1484475163293	-43.9578568308726	-31.3820465153495
26.5	-40.4325913899119	-31.2479834254398	-40.4746876429102	-31.8006378082023
27	-39.5048570973125	-27.5608103726273	-39.8405515875379	-27.8256512022721
27.5	-38.8738080500275	-26.0681104095375	-37.1167075149997	-26.4233876363697
28	-38.5166352224457	-27.9277178431646	-35.622580813069	-28.7370696165964
28.5	-38.4297670480761	-33.6340561064847	-37.0930593883796	-36.2377012810608
29	-38.6273268858262	-34.3040608660992	-41.4909031790473	-35.2252426507497
29.5	-39.1444169339846	-33.6417523614786	-46.5157008666969	-33.8718126700518
30	-40.0472733690711	-33.6970829542015	-44.6694178281609	-34.0589235124987
30.5	-41.4578497942164	-28.7668777933816	-40.7229697044651	-29.0528986333029
31	-43.6174816759201	-28.0784973735761	-38.4888108883949	-28.4927857242364
31.5	-47.0859536305126	-30.3982951886453	-38.9354584599999	-31.0535640918684
32	-53.517886293423	-27.6302928357928	-43.2903515756384	-27.7498966148182
32.5	-56.739691212118	-26.457494363757	-41.5533172902291	-26.5939549339618
33	-48.2256191448775	-27.4313226346053	-36.7723737947099	-27.9686890358991
33.5	-43.6113448702339	-24.6937211577171	-35.8183168618639	-25.0425809965301
34	-40.6890499951608	-22.9933091276154	-36.0803690090532	-23.2120704170598
34.5	-38.6779185661317	-24.0410108696263	-34.8916070508634	-24.4135917489098
35	-37.2730889680865	-25.8860173514493	-34.164742305407	-26.5848706332076
35.5	-36.3341649241136	-26.4472811856726	-35.5132561461282	-27.0222129731949
36	-35.7948854619079	-26.419527453385	-39.6075479375091	-26.6331361459156
36.5	-35.6316891519272	-26.535519362401	-48.2440298853723	-26.5649231052973
37	-35.8538081430491	-28.5181293637322	-46.0754919399472	-28.5950224040673
37.5	-36.5057655865988	-27.2438183328219	-41.2437770895613	-27.4202514995669
38	-37.6843338868062	-22.1887157538128	-40.8564519364536	-22.2481420440086
38.5	-39.5865648017417	-19.8635497209922	-43.7578970424013	-19.8813012945141
39	-42.653528977383	-18.959366458715	-49.6364526861608	-18.9630840492591
39.5	-48.0839198665869	-17.9641781434909	-52.8837782575686	-17.965577390091
40	-54.5341053762078	-17.2223077233955	-46.4687843185161	-17.227476586966
40.5	-46.3884282239961	-16.8703736413676	-40.3182051104044	-16.8900518110614
41	-41.4269646855933	-16.6999852541978	-36.8562385390298	-16.7420833242064
41.5	-38.4866817537827	-16.8742961193842	-35.892667837403	-16.9290838924594
42	-36.6267031051568	-16.2368512998482	-37.2892453977056	-16.2710693042937
42.5	-35.5000986914822	-15.1168208992758	-40.1092819049813	-15.1306001941264
43	-34.9660815072354	-15.2360037449041	-39.5659561784834	-15.252058050884
43.5	-34.9838408636955	-15.6328232579873	-37.2551499008501	-15.6628183735579
44	-35.5873236234213	-14.9194023933598	-36.1584698317263	-14.9521753167791
44.5	-36.9048483512507	-15.0819589274187	-35.0140504264484	-15.1262983718794
45	-39.255597677326	-16.9536354854801	-33.4074902605877	-17.0530292278203
45.5	-43.5542186645865	-18.4796060605493	-32.866593814129	-18.6407136552695
46	-54.7232622361124	-18.4145831118574	-33.9761369908742	-18.5369697155981
46.5	-49.0230439204125	-17.9845549805824	-36.5086565919671	-18.0459937441135
47	-41.2494953170644	-17.3246951557015	-40.4471990873442	-17.3459077661676
47.5	-37.4702972504869	-17.3996795732878	-47.1844707586117	-17.4042455476802
48	-35.2373518015371	-18.2115034161103	-41.4919441128324	-18.231956674419
48.5	-33.9435591553975	-18.7023977073452	-36.6151354905536	-18.7731997562955
49	-33.3755088588461	-19.5924300458972	-36.1802367928796	-19.6887711876392
49.5	-33.477654890282	-21.1471207129082	-40.5216205901436	-21.1975699196822
50	-34.3066949456703	-20.7085987139431	-43.1111027992892	-20.7336474454339
50.5	-36.0738065523291	-19.8217053001399	-35.530635743266	-19.9399523197443
51	-39.3677399607461	-21.1492906184896	-31.9895170739992	-21.5228016003194
