Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
10	-47.2960320697543	-32.2389991206142	-46.7935890701455	-32.3938976241571	-39.35680093339	-53.6348523899928	-39.5220796351161	-33.1373406439572	-48.3809944186631	-33.2691643284407	-35.6736871905786	-44.7910828713032	-36.2413895520839	-28.7524651336272	-61.4254580372312	-28.75481261627
11	-45.3983727569965	-29.2100495341497	-49.0829279740587	-29.2550008172512	-35.5522048648635	-58.937492677529	-35.5721691314741	-31.0133781319131	-48.8906457817881	-31.0847656085159	-31.9236442617299	-49.5149817558846	-31.9999328197493	-28.9197377748478	-49.3848927148879	-28.9589324507115
12	-43.7346922959002	-28.3048236082645	-50.5478511227047	-28.3308120556378	-33.865877997783	-54.7807304283722	-33.9012015237032	-37.6778943322701	-52.5283078762212	-37.8224214266495	-31.1579065034816	-56.3926179514506	-31.1709371070915	-27.9303221938175	-46.1871321304969	-27.9956905609136
13	-42.3161421479429	-29.5397636783896	-50.5056912352299	-29.5746725515388	-38.5812580728166	-52.0763244977608	-38.7799472696833	-40.63452324349	-42.6284616175341	-44.9741408611326	-32.9160035036249	-51.3839964872776	-32.978246926477	-28.8859110391095	-40.4569231074393	-29.1994307045167
14	-41.1480812412937	-40.5651649231492	-53.5903807587811	-40.787145241282	-40.4883251328191	-54.0159456082488	-40.6854963543221	-40.4008686448551	-44.1503176302522	-42.7797123048164	-35.3853084332284	-51.7899553732757	-35.4858479738289	-36.2400872118583	-43.2532567001458	-37.2033397444561
15	-40.2401316617807	-32.2935238841755	-67.1294217954468	-32.2949503646854	-32.7687920260694	-57.1494306150293	-32.7846597119725	-30.6313091346752	-39.1964930204438	-31.2820317115906	-50.8098346170354	-57.1788029595629	-51.9490439551842	-29.6797482868175	-38.8719395160857	-30.2371074524987
16	-39.6111031321511	-28.2850299247955	-48.6213672469662	-28.3254100836069	-31.0412062271572	-49.7254657533903	-31.1004053061826	-34.8145582972371	-37.4169550374906	-38.275082266597	-29.0227478456974	-58.0929508353006	-29.028130954279	-28.5071860807725	-36.6062670721519	-29.2381792700664
17	-39.293469248621	-31.8147478322888	-41.008059216685	-32.3719536311933	-32.9858263752065	-44.5116858390292	-33.3027451339961	-33.205324867474	-34.2693301843785	-39.8348765290706	-27.8769415688314	-50.1941104693865	-27.9024888188104	-30.2033950171398	-32.2925692074608	-34.3842842658504
18	-39.3404489943269	-38.1394074235739	-38.3754588446216	-50.9046754815206	-37.2079777534225	-43.0262524176429	-38.5269571195629	-35.8984134616835	-37.4775742799307	-41.0576744034265	-36.4789000582478	-45.9037447601441	-37.0053492120884	-31.9513931000462	-32.5619318162034	-40.7737977941096
19	-39.8401360373811	-36.3972393115295	-36.9855908675818	-45.3695685745943	-36.6695267806226	-43.1537146716544	-37.7747655832002	-40.4012603862652	-41.8278948660258	-45.9297843612506	-34.4506705740598	-42.2005056321712	-35.248846345	-32.8061828042461	-33.8154310126889	-39.6389021624356
20	-40.9478041998982	-37.1340799323122	-37.6327649748245	-46.7806164793138	-37.3470534748336	-45.5432082056084	-38.06048482699	-33.0396254684363	-42.9856174262476	-33.5032429374804	-34.27397522365	-40.8650232715332	-35.3487305996654	-31.6050326529592	-34.9035814873304	-34.3450303448243
21	-42.9737243819931	-35.5529896608622	-41.342731203005	-36.882139839389	-46.480556878761	-50.36300052964	-48.7649058015343	-33.6804338667011	-44.6355660304584	-34.0437723247677	-35.6447955417955	-44.066470465316	-36.3191669675737	-34.7968237362337	-36.9533026007169	-38.8709291016877
22	-46.7016059002825	-30.7242813394724	-50.7379060939575	-30.7677919875401	-39.2967128410222	-54.0164182243108	-39.4457324600054	-36.9811438966259	-40.9289314566011	-39.2208349772119	-32.8109529242394	-59.6130832079341	-32.8200316550746	-31.5262840979854	-39.380202913586	-32.3037590376071
23	-55.5119121440626	-30.9479251054953	-63.0819121690329	-30.9505828821784	-36.2521427844993	-51.0042401154754	-36.400036001065	-37.0010955249197	-38.4245565800841	-42.5377906710791	-28.8941837987839	-49.6864242707694	-28.9305230487782	-29.4164546358803	-38.3456832618925	-30.0110948376277
24	-54.7678099875781	-34.308233025451	-56.9731447861861	-34.3318090950778	-38.6276304343559	-50.5317775530465	-38.9172101487309	-37.9289866752353	-38.9055153552985	-44.889098934735	-31.5037511491995	-47.4979365790431	-31.6143844036907	-31.1967252893981	-37.9795419977183	-32.2191236675277
25	-45.7611311725708	-35.3533972465834	-62.9333635536738	-35.3609859409154	-50.6134926995712	-52.0826883496868	-56.0344477949126	-29.8134253630153	-37.4884193924938	-30.6268586521672	-34.7479128496531	-50.3019684210835	-34.8705139558248	-27.6791717718752	-37.732259375886	-28.1308879139714
26	-41.7064122420344	-37.7172587457324	-51.1555234921197	-37.9186252638526	-38.0636469474655	-52.9059535331034	-38.2084486341959	-27.6993035041248	-40.6148432576615	-27.9271125681923	-37.8013023387182	-48.5079139582742	-38.1870170071684	-25.6759895359511	-42.3011225080044	-25.7714970716498
27	-39.5048570973125	-37.6133993986617	-45.3236712618853	-38.4196013022479	-33.8118801153046	-47.8168370418254	-33.988106173415	-27.9940278001438	-34.1924025890949	-29.1857380341429	-32.9892061389912	-40.711662170993	-33.7929268768123	-28.275235861186	-36.6710202602145	-28.953971680154
28	-38.5166352224457	-35.7795343258776	-44.663665851716	-36.3808315403751	-33.6072438605064	-46.2744384880734	-33.8488392374961	-27.4877998978149	-34.1240137050836	-28.5499575037523	-36.5881019878726	-39.4173439599965	-39.7873378857485	-30.2205159729418	-36.9991933353702	-31.2440137412109
29	-38.6273268858262	-35.7552895852309	-43.8467889166162	-36.4876740214664	-38.951673762277	-45.5200439344779	-40.0328180501511	-33.8149959654523	-39.8713072948718	-35.0525444849232	-33.9675219897087	-39.0322554240348	-35.5887929735198	-31.7215406447052	-46.2063842062033	-31.8789928621636
30	-40.0472733690711	-33.4106011563721	-46.095473776683	-33.6511874222931	-44.4832951751599	-48.5729502325145	-46.6298043117777	-28.969200016559	-53.2787876028381	-28.9853299211411	-35.0090086694643	-42.5170354484445	-35.8576473690369	-25.5138904847716	-45.8171421608923	-25.5545808956961
31	-43.6174816759201	-35.1133484420508	-50.3773762529525	-35.2445457370749	-34.8371564598209	-54.158663710431	-34.8882286749267	-32.8903363575588	-50.2831748282522	-32.9702256928646	-38.7347469307268	-48.5679671158171	-39.2112545534948	-30.6334166881303	-44.3134826739511	-30.8236357125101
32	-53.517886293423	-43.8510912305964	-51.9144508272661	-44.5886645713014	-31.9456773262809	-63.9678406095509	-31.9484044468051	-34.195370695401	-41.1546562010841	-35.1721078579675	-33.0981845096895	-52.7821014532143	-33.1451456417617	-33.3802687219292	-40.0596653264664	-34.4305371122289
33	-48.2256191448775	-45.666118956969	-53.571727296637	-46.433532157561	-31.4506866089137	-64.1546128651774	-31.4530174261516	-29.8444733413068	-35.6984481475103	-31.1508539840623	-32.1898464115719	-52.2318992303263	-32.2330717601563	-30.6854627540473	-36.1364034173988	-32.142645800427
34	-40.6890499951608	-32.7958322897652	-51.8268586577452	-32.8504596455626	-32.7643267725521	-57.272319984007	-32.7797350886095	-25.7411015927898	-40.6828497777135	-25.8825714067182	-53.3099784970732	-54.3617603386238	-59.9838475961135	-26.5049392530225	-42.3446098117735	-26.6196328878759
35	-37.2730889680865	-30.6288252305276	-48.227320604744	-30.7049870480688	-34.2737967364558	-52.247309928716	-34.3436069274153	-28.3955124266706	-38.7155815073446	-28.8189375896783	-28.9178996653451	-56.6413189654192	-28.9252415815822	-28.4400677099245	-42.2417298052973	-28.6249213471301
36	-35.7948854619079	-33.3498514413167	-46.404500345986	-33.5702937313452	-30.7183001571494	-51.1682369719055	-30.7576330410084	-30.8450539998385	-53.0935237309202	-30.8710098036001	-26.0762440658491	-52.830355259909	-26.0854238421863	-32.2511899315506	-50.2767188710763	-32.3201623531723
37	-35.8538081430491	-41.6523639390576	-44.7034074162112	-44.6222990623268	-25.9816848947255	-51.6782102591641	-25.9933992221728	-32.4153147608497	-51.4091437231084	-32.4704150038837	-25.0021335710699	-46.6847711324074	-25.0317136083882	-30.219916061593	-41.5221690965615	-30.5542404001646
38	-37.6843338868062	-33.8797073937664	-44.8209673396748	-34.2442584612996	-22.5599616689638	-53.9799354843293	-22.5630945475502	-26.4654815386221	-39.8841221247801	-26.6677815893918	-20.7390936081129	-44.2155042842621	-20.7586424177489	-24.7731448163824	-36.0689025798311	-25.1079893368745
39	-42.653528977383	-37.4669811246938	-44.0212262416283	-38.5521264632127	-20.5136776508227	-56.9587470542427	-20.5146624022242	-25.9162389370577	-36.7859122586031	-26.2871150180826	-20.7770188480142	-42.6561881445544	-20.8052858640877	-24.3958024768511	-33.6784550837373	-24.9409196381936
40	-54.5341053762078	-43.915982841571	-44.8553359547711	-51.0267513317345	-19.2140427217683	-60.4483084433058	-19.2143695910303	-25.9043143240424	-41.2342136679434	-26.0335070313162	-19.0120497601849	-43.5436262001033	-19.0273744847726	-26.0543986727206	-36.8394835898368	-26.4328963935478
41	-41.4269646855933	-41.4830463632177	-44.1000224134778	-44.9258718632305	-18.5514499001272	-74.7882626481038	-18.5514602302041	-24.7185181289075	-38.771749239838	-24.8927565778072	-18.4610513571285	-44.0133222025461	-18.4731618721251	-25.0672579557501	-39.7191841917242	-25.2186628590253
42	-36.6267031051568	-40.2308245402327	-43.3857042396623	-43.1012032489707	-18.3969529946271	-55.3496056853921	-18.3978291131199	-22.9496279885938	-32.2802278300982	-23.488372849998	-18.2778383928615	-44.8719006450298	-18.287363157158	-22.6848927590643	-31.850427171696	-23.2459149654106
43	-34.9660815072354	-33.3876108041852	-43.5188055111837	-33.8308501845746	-18.5526091651717	-49.8865225865614	-18.5558047675778	-22.063420655207	-35.8956251580122	-22.2469510785786	-17.2328038897137	-43.8177526695958	-17.2423486842839	-23.3847721160402	-35.2635543284665	-23.6761062485257
44	-35.5873236234213	-36.688658697823	-45.2735469041358	-37.336204608068	-19.0954524566065	-47.7509000564898	-19.1013753738351	-23.9851022423248	-34.3770887384428	-24.4012292380854	-19.4594009167647	-43.6599249253181	-19.4759417998552	-25.7116493984725	-35.6579151835888	-26.1752360197257
45	-39.255597677326	-40.153096477864	-45.415211794864	-41.6879106307205	-19.8773958862154	-47.0966930649215	-19.8856423328054	-24.7760749032199	-30.0741105807552	-26.2957513981241	-19.8801522093056	-42.1350037477382	-19.9060697859687	-24.1137732887927	-30.6700691950161	-25.1983366856767
46	-54.7232622361124	-37.7084121462931	-45.3402957188299	-38.5307791169528	-20.7208334675692	-45.9967329486834	-20.7337408915092	-26.3390909762838	-28.7177277335081	-30.0888236564306	-19.6439840797474	-40.3230472461569	-19.6812869114802	-25.4773063473337	-28.8145721934568	-28.1835424306878
47	-41.2494953170644	-38.9866289696466	-46.9927825638719	-39.7348746569873	-21.909887121086	-45.9172195602523	-21.9271819201399	-24.7988561715251	-29.5533945874669	-26.5681298960701	-20.8441591479147	-40.517081399111	-20.8912399659819	-23.6401513820026	-29.3679847502923	-24.9916839568836
48	-35.2373518015371	-32.7080669657436	-49.1481002161344	-32.8077812000411	-23.193726256078	-48.3822025537844	-23.2068965367145	-26.4083164250019	-35.1000438100238	-27.0389260478789	-20.9038297960586	-42.8705382368636	-20.9315309453897	-23.1222669142655	-34.7036040769903	-23.4350146281292
49	-33.3755088588461	-33.6352760277898	-48.3042588367584	-33.7860770423699	-24.9870275414257	-49.0339261222535	-25.0041651829207	-28.0198800111629	-31.9249238511317	-30.2886551495177	-24.2532442814529	-43.7109157459081	-24.3027310566637	-25.0006507925382	-32.2571739694965	-25.9055301333704
50	-34.3066949456703	-42.7343102668226	-45.2715801350796	-46.2755320929692	-26.5247836551965	-49.4963259143439	-26.5467484860932	-30.4030196098068	-30.7238307696675	-41.8777862502126	-27.3795398443341	-43.4929569244893	-27.4871396497194	-29.6939975393431	-30.1179892796711	-40.0085379739564
51	-39.3677399607461	-36.0646422922858	-44.2026163552584	-36.7885435324	-28.0533582053185	-50.1917787052635	-28.0799821731353	-28.4958489113932	-38.752122439901	-28.9258604875626	-25.3902320873594	-44.4063110432708	-25.4450489754283	-27.9806619852157	-35.476483762242	-28.8319390891235
52	-52.9253140412304	-36.7269469081295	-42.1333956212583	-38.2019958655413	-29.5997787874723	-51.4505725277054	-29.628231705092	-30.2719470551994	-37.0037433237192	-31.3079893136019	-28.1272143432918	-44.2173190853847	-28.2354005562408	-33.8932273588383	-42.0585582125453	-34.6121849964781
53	-36.3309285279057	-34.3756941874938	-42.1132459499255	-35.1763524478498	-31.3771116497771	-52.8763344995032	-31.4079722338837	-29.7689688475371	-30.3030313293963	-39.1351863930083	-27.5859715962792	-45.0835664316548	-27.6639397776961	-28.1799761004798	-31.4681259820499	-30.9291383750056
