Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
21	-42.9737243819931	-33.1394903522382	-41.4840027089284	-33.826959473144	-56.2463264724728	-60.1287699309113	-58.5306755284407	-48.2741840148177	-55.4964423667343	-49.1870395780117	-33.3152739277571	-40.6036032011419	-34.212818441835	-32.2554954774114	-40.0445045187029	-33.0458101819569
21.5	-44.5340701993816	-30.7211475196146	-43.992385761919	-30.9306027247373	-53.2393859847955	-63.3005765615101	-53.6902148528423	-45.0634870839641	-58.5835261066611	-45.2610107609385	-30.2753783632197	-43.3704533754583	-30.4937259775684	-30.3052138973224	-43.1704640296767	-30.5357479107952
22	-46.7016059002825	-28.8098112192144	-47.2256781037947	-28.8728116963709	-49.0624823819858	-63.7821875189817	-49.2115020095668	-46.9401042901218	-57.9060339054978	-47.3025018230138	-28.0286112482696	-47.0948548577912	-28.0827946545734	-28.2349476468679	-50.1046835691643	-28.2632763297785
22.5	-49.9247406678671	-28.1529584131965	-50.5812299400007	-28.1778585406538	-46.8857230050311	-62.0137220966422	-47.0211604257906	-48.2146720884745	-48.9614157325693	-56.2288230702048	-27.2835184684256	-51.5227720344492	-27.2999122213157	-28.3532114593052	-47.2848795671167	-28.4091111606577
23	-55.5119121440626	-29.1592269678622	-53.1818492394954	-29.1764608649027	-46.0179124672042	-60.7700094361686	-46.16580569631	-41.0200839231799	-45.9186699550246	-42.7186838143193	-28.3045420353063	-56.0319984992358	-28.3118771239688	-30.9291775721463	-43.2905445867333	-31.1889367090379
23.5	-65.2709530385916	-30.8955536385009	-54.4018299497405	-30.9149681758369	-46.5045931543506	-60.3630596827458	-46.6869935427878	-40.2544649772522	-47.3686763022769	-41.1929871670762	-30.0232384310826	-58.7356527044777	-30.0290841123937	-31.3219321996726	-44.1800172025334	-31.5528571713084
24	-54.7678099875781	-31.0770602721673	-54.9793851204128	-31.0947792013222	-48.3934001563207	-60.2975468843128	-48.6829798976349	-45.5892539551786	-55.8440242230812	-46.0194220229625	-30.3710282946317	-58.8346188994352	-30.3772189231705	-29.9582619036587	-49.5049167278305	-30.0067394299444
24.5	-49.142615307759	-30.5915078512588	-55.1826798792522	-30.6066233563728	-52.1839664947855	-60.6118377489406	-52.8572978987415	-53.0232862080549	-53.5579991082289	-62.384536373862	-30.2546904021414	-56.9799872151044	-30.2639313516123	-30.7805150842838	-50.1836415435956	-30.830630928193
25	-45.7611311725708	-30.8709136967202	-53.9232915238247	-30.8924724688057	-60.3792621611922	-61.8484576848008	-65.8002175707947	-44.9526932732303	-48.6456581305762	-47.3732022572914	-30.8143320468562	-53.5824471854555	-30.8373530018999	-31.4002685909356	-46.7765204134507	-31.5280693690349
25.5	-43.4206937235062	-31.9128651090637	-51.3665352855154	-31.9623977600816	-54.8244288175894	-63.4896165521707	-55.4592006043082	-45.607434710471	-48.1374185805667	-49.1578548550189	-31.9419780059078	-49.916109076734	-32.0117781853146	-31.3900058253716	-46.3596754099831	-31.5305541974068
26	-41.7064122420344	-33.732280276774	-48.9900966018171	-33.8636682199471	-47.8294167867608	-62.6717229260053	-47.9742184886256	-48.0265497886522	-48.1877694395228	-62.4105735988337	-33.6273299111203	-47.3813680913255	-33.8142662724809	-33.9666228347403	-47.0846487502954	-34.1837903431467
