Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
0	-53.2490084210367	-25.0345225678649	-45.4895916603246	-25.0738087867709	-36.992570434238	-100	-36.9925726071466	-28.7222170945055	-42.5638296810794	-28.9053418756428	-23.2544206103793	-45.4895916603246	-23.2804562551976	-27.4116918224939	-42.1459226425371	-27.5602052565085
0.5	-53.2022774663015	-27.6812747384399	-44.9412503234033	-27.7636695720692	-37.2595958708265	-82.4376160711706	-37.2597276931258	-30.8680832277286	-44.0622616739351	-31.0813816983557	-25.5386278114864	-44.9959313383692	-25.5881188034125	-31.5117771156551	-43.6865510889406	-31.7833037999221
1	-53.2137198293062	-31.4212325346853	-44.6408871113571	-31.6332524828717	-38.4114869590186	-76.5638657285638	-38.4121515885975	-34.7921538016293	-47.9509520022593	-35.0072409515918	-28.8956315261129	-44.6836105830294	-29.0117169653013	-37.7843132710729	-44.5371583124745	-38.8147020390331
1.5	-53.2825593918732	-36.7731271831351	-44.5811393719743	-37.5596590549294	-40.6012336718744	-73.4105695018337	-40.6035085831794	-39.3116316429758	-48.7257184487992	-39.8394691348154	-34.4173419478168	-44.5510586863604	-34.860310424254	-41.3356700246907	-41.9927202512512	-49.8619114280419
2	-53.4069807755411	-38.4181772979986	-44.9248162856443	-39.516931304874	-43.9915508636524	-71.2634849002889	-43.9996978726211	-38.2930677285534	-45.219017008938	-39.2782528500761	-41.9801517675371	-44.7767201657213	-45.2152486784628	-39.8513676613545	-40.1636890351444	-51.4384185851365
2.5	-53.5832092493745	-33.641419088802	-45.8121281991764	-33.9132081571923	-48.9159456472027	-69.9323031835864	-48.9504499000839	-36.5573003596983	-43.5142309523272	-37.5346316331356	-35.1109793303724	-45.5229294869564	-35.5251039009466	-36.8437050388389	-39.7236573635153	-39.9883862105388
3	-53.803955054945	-30.8706239087531	-47.2742226282222	-30.9711880018459	-55.5707042140001	-69.4199556152641	-55.7535003109018	-37.1526521345574	-42.8248330212296	-38.524680488791	-31.3127411603541	-46.8297506647871	-31.4364076440958	-33.4706923098525	-40.0676279474427	-34.5437959852308
3.5	-54.0559833852922	-29.7934480643845	-49.4362024757265	-29.8408588610965	-60.2767670560932	-69.6049010341858	-60.815837696513	-39.9497955268341	-43.2019690972515	-42.7309849518706	-30.0246959945784	-48.8015567670191	-30.0826378107437	-30.4137224294032	-41.4952505973638	-30.7662039698547
4	-54.3166840131364	-29.8817550550323	-52.6810163483905	-29.9046110684032	-57.1046653542191	-70.4583825833804	-57.3100855381079	-37.8152396882434	-45.2293613388127	-38.6844127175512	-30.2359571939447	-51.7488653816592	-30.2667203396069	-28.2632067652232	-44.7160132207722	-28.3626247793204
4.5	-54.550097642631	-31.2367050101303	-57.0608836194352	-31.2480795818876	-51.5481282802567	-72.0069034857519	-51.5873808361176	-33.1516359375029	-47.8161563179917	-33.3025947074406	-31.9965131791306	-55.6476208573358	-32.0152895659861	-27.4164751419077	-48.7080515934681	-27.4488527334513
5	-54.7043846703428	-34.177382295235	-60.7102757537774	-34.1870423119248	-47.3029612442687	-74.0580179951464	-47.3121390200666	-30.2845071878523	-48.1341080137279	-30.356354686206	-36.0546910752757	-59.1677158424877	-36.0759501498164	-27.9755534589429	-49.2417158294974	-28.0081217876784
5.5	-54.7151210572127	-36.3360501961041	-61.5674841309223	-36.3490906520847	-44.8243787432482	-75.3189910969431	-44.828255931793	-28.9686630957147	-46.5394241029385	-29.0453171760037	-40.3728705296271	-60.8600384000404	-40.4118661511287	-30.300301856567	-47.4266491819466	-30.3852966628111
6	-54.5194407626342	-33.9167110065847	-61.6353963609106	-33.924060936883	-44.1562500679128	-74.3959874209051	-44.1603617179469	-29.2684165529239	-44.6196288061589	-29.3969673492712	-36.3479399640186	-62.0999368381802	-36.3595054202226	-35.6460967911389	-45.5212372033924	-36.1177691936475
6.5	-54.0794289827053	-32.0489295129981	-65.2775537132688	-32.0509950128215	-45.4480952925176	-71.6518181497466	-45.4585168589118	-31.2449482987083	-44.4271101274701	-31.4588525640734	-33.6552332665036	-68.143986132566	-33.6567784721366	-44.3468849454323	-45.2031531909414	-51.8197317198806
7	-53.4004582232853	-32.2875343367126	-65.9307072765955	-32.2894117543123	-48.9815777510748	-67.6531725165022	-49.0409509037531	-34.6022635328448	-47.3057377455391	-34.8417926432465	-33.4884847729532	-62.2554951312864	-33.4942573783861	-39.1464801467379	-47.1598634218918	-39.8933678364719
