Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
5	-54.7043846703428	-34.1773822960757	-60.7102759229839	-34.1870423123905	-47.3029612442688	-74.0580179951463	-47.3121390200666	-45.6196228818628	-57.9909920134609	-45.8787662745317	-36.0546910803877	-59.1677159699342	-36.0759501543282	-34.2285450064645	-65.3532225218243	-34.2318983976507
5.5	-54.7151210572127	-36.336050194583	-61.5674842131525	-36.3490906503117	-44.8243787432482	-75.318991096943	-44.828255931793	-43.9933582003052	-56.6960745416926	-44.232930288192	-40.3728705274432	-60.8600384846	-40.4118661481624	-33.4838612283071	-57.0320842468836	-33.5030887376129
6	-54.5194407626342	-33.9167110334561	-61.6353962753271	-33.9240609639449	-44.1562500679128	-74.3959874209051	-44.1603617179469	-45.8175852836383	-55.1365429759978	-46.3578700960115	-36.3479400041265	-62.0999367584261	-36.3595054606502	-32.2877305033978	-55.6615129778607	-32.3077478517401
6.5	-54.0794289827053	-32.0489295382915	-65.2775539750786	-32.0509950380024	-45.4480952925175	-71.6518181497465	-45.4585168589118	-48.5015188814858	-60.8063729846037	-48.7647854641438	-33.6552332934384	-68.1439864302599	-33.6567784989751	-31.081919818254	-62.990272503253	-31.0847193733119
7	-53.4004582232853	-32.2875343742324	-65.9307074197984	-32.2894117917864	-48.9815777510748	-67.6531725165021	-49.0409509037531	-48.1648905742151	-62.8628999046059	-48.3146695316199	-33.4884848143498	-62.2554952579277	-33.4942574196693	-31.4027376037503	-63.5122321999062	-31.4054104161995
7.5	-52.5285336595784	-34.4935858293882	-56.199784093278	-34.5230052846733	-54.9937000280238	-64.2066964023303	-55.5482179686852	-49.4132059491874	-56.8128992513737	-50.2855823221515	-35.2739310934413	-54.4089424515389	-35.327258049551	-34.4102939426545	-60.8315629551899	-34.4202057512346
8	-51.5291355854551	-37.9894658893339	-52.2880237700966	-38.1539510889842	-59.6680184175511	-62.1066160226208	-63.3368542417786	-56.0692750509897	-63.4808561265296	-56.9390111891478	-38.1635273527828	-51.2261822712573	-38.3835531815494	-38.8483301126387	-54.5603028754848	-38.9664931900704
8.5	-50.4650705740757	-39.1547860063966	-50.9444786698219	-39.4523698003088	-55.0831308518843	-61.2233821136287	-56.2933559418311	-56.4511490144948	-58.0527653383727	-61.559632700822	-38.9595293411848	-50.1563507795314	-39.3024021324105	-39.2513263472397	-48.4092860691686	-39.8133941034489
9	-49.3849830268678	-36.3230076361338	-50.2543419474462	-36.5023096371679	-51.4439596132576	-61.1985980244996	-51.9296727019966	-51.3843349656772	-52.2556662676585	-58.788728991856	-36.3361037817435	-49.4803034304207	-36.5519334479037	-36.6871067056682	-47.3219145031162	-37.0795509770701
9.5	-48.3218326704297	-33.6683357249836	-49.1789106626297	-33.7921882100679	-49.9709211171925	-61.8626893566628	-50.2613556746813	-51.7057356785156	-53.7040795341366	-56.037803008654	-33.785141597689	-48.4741476116713	-33.9352368160156	-33.2658325296573	-49.813744189439	-33.3630727840211
