Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
0	-53.2490084210367	-25.0345225678649	-45.4895916603246	-25.0738087867709	-36.992570434238	-100	-36.9925726071466	-56.041731840706	-76.4164816246869	-56.0817547765643	-23.2544206103793	-45.4895916603246	-23.2804562551976	-24.8514983626796	-45.4190762553455	-24.8897754577758
0.5	-53.2022774663015	-27.6812747384399	-44.9412503234033	-27.7636695720692	-37.2595958708265	-82.4376160711706	-37.2597276931258	-49.2853945243684	-75.0490919304958	-49.2969288221105	-25.5386278114864	-44.9959313383692	-25.5881188034125	-27.6183410300047	-45.0477041095194	-27.6975551660643
1	-53.2137198293062	-31.4212325346853	-44.6408871113571	-31.6332524828717	-38.4114869590186	-76.5638657285638	-38.4121515885975	-45.3006277753602	-70.6150909618665	-45.3134209253926	-28.8956315261129	-44.6836105830294	-29.0117169653013	-30.438084391561	-44.9794201546562	-30.5934649215982
1.5	-53.2825593918732	-36.7731271831351	-44.5811393719743	-37.5596590549294	-40.6012336718744	-73.4105695018337	-40.6035085831794	-45.8118627351822	-67.5447282018719	-45.8411014905849	-34.4173419478168	-44.5510586863604	-34.860310424254	-34.6272548202612	-45.2160768413571	-35.0240733777552
2	-53.4069807755411	-38.4181772979986	-44.9248162856443	-39.516931304874	-43.9915508636524	-71.2634849002889	-43.9996978726211	-49.4176669183898	-67.0982290915899	-49.4923907145048	-41.9801517675371	-44.7767201657213	-45.2152486784628	-37.1261799783228	-45.2020491678308	-37.8614416607674
2.5	-53.5832092493745	-33.641419088802	-45.8121281991764	-33.9132081571923	-48.9159456472027	-69.9323031835864	-48.9504499000839	-53.74573539288	-69.0200756728975	-53.8766167888738	-35.1109793303724	-45.5229294869564	-35.5251039009466	-32.8566992256811	-45.4554490763164	-33.1022428515271
3	-53.803955054945	-30.8706239087531	-47.2742226282222	-30.9711880018459	-55.5707042140001	-69.4199556152641	-55.7535003109018	-52.7820925971703	-74.7984976967765	-52.809477571019	-31.3127411603541	-46.8297506647871	-31.4364076440958	-30.4618497207988	-46.91649260643	-30.5612252199521
3.5	-54.0559833852922	-29.7934480643845	-49.4362024757265	-29.8408588610965	-60.2767670560932	-69.6049010341858	-60.815837696513	-51.1754395348596	-79.2153889465678	-51.1822649739812	-30.0246959945784	-48.8015567670191	-30.0826378107437	-29.932331476218	-49.3224431970127	-29.9825986040751
4	-54.3166840131364	-29.8817550550323	-52.6810163483905	-29.9046110684032	-57.1046653542191	-70.4583825833804	-57.3100855381079	-51.3375359230726	-68.2122027160373	-51.4276548027796	-30.2359571939447	-51.7488653816592	-30.2667203396069	-30.48127118379	-51.6095782517913	-30.5148939668952
4.5	-54.550097642631	-31.2367050101303	-57.0608836194352	-31.2480795818876	-51.5481282802567	-72.0069034857519	-51.5873808361176	-52.2775376074698	-64.6785365506385	-52.5348657565895	-31.9965131791306	-55.6476208573358	-32.0152895659861	-31.9946413910215	-54.0412784273203	-32.0218357996204
