Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined
93,2000000476837	-1,1417295097036	-4,12868559423501	-27,7140347486909	-4,14774907590953	-41,409422137843	-44,7869316107279	-44,0811551928374	-4,03837786904132	-26,5827144257632	-4,0626195189132
93,3000000491738	-1,24235088886744	-4,21399384391138	-27,5134265959813	-4,23435764415638	-41,126494461089	-44,5843020978978	-43,7311217801053	-4,11908094713461	-26,3822742059484	-4,14494864192863
93,4000000506639	-1,34648626809319	-4,3020320676374	-27,3229692859772	-4,32374787234096	-40,8504668040128	-44,3915964561174	-43,3878098235114	-4,2023425680609	-26,1919815379573	-4,22989737841744
93,5000000521541	-1,45417925559808	-4,39281067666115	-27,1422092808027	-4,41593132298368	-40,5810732550276	-44,2083344308939	-43,0512545875093	-4,28817097614099	-26,0113809540157	-4,31747502921944
93,6000000536442	-1,56547572385819	-4,48634067151306	-26,9707325475179	-4,51092019846781	-40,3180692676283	-44,0340756962716	-42,7214678921025	-4,37657502916609	-25,840056576513	-4,40769155154552
93,7000000551343	-1,68042392418808	-4,58263313615046	-26,8081589216195	-4,60872684214836	-40,061229983176	-43,8684155912758	-42,3984419605373	-4,46756371065201	-25,6776266388933	-4,50055707799792
93,8000000566244	-1,79907461012935	-4,68169999425073	-26,654141734183	-4,70936448164495	-39,8103486781031	-43,7109814440801	-42,0821527481738	-4,56114689211401	-25,5237427276921	-4,59608266417637
93,9000000581145	-1,92148117041576	-4,78355337003275	-26,50836222014	-4,81284660023513	-39,5652353317421	-43,5614293922571	-41,7725628158455	-4,65733471447406	-25,3780844681951	-4,6942796807715
94,0000000596046	-2,04769977236571	-4,88820595301893	-26,3705274069608	-4,91918730119172	-39,3257153088532	-43,4194416236275	-41,4696238045883	-4,75613796267915	-25,2403573369051	-4,79516018727229
94,1000000610948	-2,17778951664516	-4,99567104012482	-26,2403680585441	-5,02840134849752	-39,0916281497201	-43,2847239751439	-41,1732785624337	-4,85756812515194	-25,1102905767976	-4,89873698913969
94,2000000625849	-2,31181260444852	-5,10596238034954	-26,1176352952007	-5,14050402063402	-38,8628264601021	-43,1570038376669	-40,8834629681616	-4,96163725486096	-24,9876339407199	-5,00502350835894
94,300000064075	-2,44983451826038	-5,2190941233151	-26,0020995666687	-5,25551105413654	-38,639174893169	-43,0360283229202	-40,6001074915583	-5,06835793875559	-24,8721565819839	-5,11403374644553
94,4000000655651	-2,59192421749705	-5,33508111256958	-25,8935494623847	-5,3734389360196	-38,4205492156656	-42,9215626557768	-40,3231385248714	-5,17774360516654	-24,7636458372859	-5,22578259022274
94,5000000670552	-2,73815435047189	-5,45393898262375	-25,7917881025206	-5,4943050218585	-38,2068354508504	-42,8133887606434	-40,0524795157945	-5,28980863838633	-24,6619038432265	-5,34028594944235
94,6000000685453	-2,88860148430169	-5,57568362787059	-25,6966353631542	-5,61812697021604	-37,9979290911629	-42,7113040153204	-39,7880519284278	-5,40456788042215	-24,566749319412	-5,45756021956025
94,7000000700355	-3,04334635456261	-5,70033199627139	-25,6079223324826	-5,74492358536715	-37,7937343740387	-42,6151201495315	-39,5297760552269	-5,52203743043657	-24,478012652497	-5,57762313437394
94,8000000715256	-3,2024741367225	-5,82790136687889	-25,5254937495849	-5,87471405767246	-37,5941636147952	-42,5246622684686	-39,2775716999291	-5,64223395988115	-24,3955378440745	-5,70049303965966
94,9000000730157	-3,36607474162866	-5,95841026660626	-25,4492046519263	-6,00751891614998	-37,3991365910042	-42,4397679843384	-39,0313587487982	-5,76517563614759	-24,3191794362162	-5,82618985713867
95,0000000745058	-3,53424313761324	-6,09187737394114	-25,3789226535314	-6,14335888863937	-37,2085799732687	-42,3602866410957	-38,7910576452187	-5,89088107806596	-24,2488045262908	-5,95473398894226
95,1000000759959	-3,70707970210814	-6,22832291087481	-25,3145223210766	-6,28225636712641	-37,0224267977873	-42,286078619408	-38,5565897806613	-6,01937073644992	-24,1842876150114	-6,08614778155296
95,200000077486	-3,88469060603544	-6,3677674321924	-25,255890062298	-6,42423412127513	-36,8406159765407	-42,217014710458	-38,3278778132951	-6,15066575037688	-24,1255149188506	-6,22045429618903
95,3000000789762	-4,06718823467339	-6,51023282074466	-25,2029181310969	-6,56931637442207	-36,663091841354	-42,1529755485302	-38,1048459240109	-6,28478893543651	-24,0723789882867	-6,35767838680847
95,4000000804663	-4,25469164919695	-6,65574190202825	-25,1555076857818	-6,71752837347745	-36,4898037184773	-42,0938510934602	-37,8874200183154	-6,42176444865197	-24,0247813342687	-6,49784631587045
95,5000000819564	-4,44732709367	-6,80431851400226	-25,1135677301119	-6,86889646875909	-36,3207055306845	-42,0395401550091	-37,675527881424	-6,56161788304221	-23,9826314938	-6,6409858590701
95,6000000834465	-4,64522855293678	-6,95598753281653	-25,0770124475412	-7,02344817729205	-36,1557554242234	-41,9899499520684	-37,4690992929098	-6,70437632658753	-23,9458445615495	-6,78712640656429
95,7000000849366	-4,84853836764107	-7,11077562162835	-25,0457639316603	-7,18121290282826	-35,9949154182461	-41,9449957003381	-37,2680661064256	-6,85006912186596	-23,9143435710624	-6,93629969269385
95,8000000864267	-5,05740791351262	-7,26871048340919	-25,0197499445878	-7,34222121027916	-35,838151074627	-41,9046002227649	-37,0723622992939	-6,99872717614995	-23,8880575411231	-7,08853912774628
95,9000000879169	-5,27199835312554	-7,42982095818376	-24,9989024847665	-7,50650495077094	-35,6854311863198	-41,8686935775915	-36,8819239961387	-7,15038308916226	-23,8669200821659	-7,24387995839473
96,000000089407	-5,49248146958757	-7,59413802527482	-24,9831601298315	-7,67409824478955	-35,5367274826298	-41,8372126993683	-36,696689470195	-7,30507216469686	-23,8508714894539	-7,40236026043783
96,1000000908971	-5,71904059309262	-7,76169413580972	-24,9724649643647	-7,84503686167357	-35,392014349983	-41,8101010487215	-36,5165991254773	-7,4628317903142	-23,8398559797682	-7,56402036948064
96,2000000923872	-5,95187163301573	-7,93252334927017	-24,9667655635059	-8,01935830827678	-35,2512685669492	-41,7873082670647	-36,3415954625847	-7,62370162251228	-23,8338242953462	-7,72890301677205
96,3000000938773	-6,19118423029818	-8,10666184421921	-24,9660128345728	-8,197102435785	-35,1144690524422	-41,7687898327891	-36,1716230305859	-7,78772410322849	-23,8327300066492	-7,89705395154975
96,4000000953674	-6,43720304733741	-8,2841481932373	-24,9701621418575	-8,37831169148556	-34,9815966261665	-41,754506715778	-36,006628367128	-7,95494476516505	-23,8365313630134	-8,06852222417779
96,5000000968575	-6,69016921554503	-8,4650227831629	-24,9791737625004	-8,5630305254529	-34,8526337805051	-41,7444250273633	-35,8465599286648	-8,12541171944929	-23,8451916527025	-8,24335966160237
96,6000000983477	-6,95034196427639	-8,64932864552477	-24,9930098703311	-8,75130631792569	-34,7275644631603	-41,7385156630809	-35,6913680124762	-8,29917647795702	-23,8586765370117	-8,42162179699634
96,7000000998378	-7,21800045910428	-8,83711121972274	-25,0116369908596	-8,9431890999264	-34,6063738699626	-41,7367539357906	-35,5410046719653	-8,47629378166952	-23,8769561698737	-8,60336765680909
96,8000001013279	-7,49344588258167	-9,0284196197289	-25,0350241510794	-9,13873291240346	-34,4890482473469	-41,7391191968973	-35,3954236265517	-8,65682283307589	-23,9000035376097	-8,78866109787548
96,900000102818	-7,77700379693209	-9,22330496604051	-25,0631438591303	-9,33799409618861	-34,3755747040798	-41,7455944435629	-35,2545801673387	-8,84082575287993	-23,9277953238272	-8,97756922022464
97,0000001043081	-8,0690268358028	-9,42182234837649	-25,0959706805849	-9,541033365816	-34,2659410318841	-41,7561659099103	-35,1184310596042	-9,02836947569587	-23,9603106350988	-9,17016438902332
97,1000001057982	-8,36989778168505	-9,62403030019633	-25,1334814866272	-9,74791529818327	-34,1601355346718	-41,7708226403117	-34,9869344430579	-9,21952529170909	-23,9975310628041	-9,36652380023401
97,2000001072884	-8,68003309730147	-9,82999152283482	-25,1756564634479	-9,95870908315358	-34,0581468661408	-41,7895560429179	-34,8600497307052	-9,41436957040177	-24,0394417524533	-9,56673023379659
97,3000001087785	-8,99988699381731	-10,0397724688928	-25,2224775385547	-10,1734881792485	-33,9599638755376	-41,8123594216171	-34,7377375070728	-9,61298339323261	-24,0860298242726	-9,7708717739163
97,4000001102686	-9,32995613693329	-10,2534444301464	-25,2739279557223	-10,3923314968084	-33,8655754614229	-41,83922748463	-34,6199594264719	-9,81545361031626	-24,137284003984	-9,97904297478714
97,5000001117587	-9,67078511484651	-10,471083511465	-25,3299931905524	-10,6153233997384	-33,7749704333019	-41,8701558279357	-34,506678111901	-10,0218728449941	-24,1931954800727	-10,1913449000664
97,6000001132488	-10,0229728211336	-10,6927714527576	-25,3906610294006	-10,8425546123195	-33,6881373810062	-41,9051403916989	-34,3978570551223	-10,232340285993	-24,2537577396875	-10,4078860231137
97,7000001147389	-10,3871799427422	-10,9185954099149	-25,4559192113831	-11,0741221472904	-33,6050645517283	-41,9441768878264	-34,2934605183841	-10,4469615365979	-24,3189646778296	-10,6287822324384
97,8000001162291	-10,7641377910706	-11,1486488507053	-25,5257586985154	-11,3101302026015	-33,5257397346157	-41,9872601967344	-34,1934534381988	-10,6658493948524	-24,3888132949428	-10,8541576299014
97,9000001177192	-11,1546587761557	-11,3830323568933	-25,6001698583451	-11,5506912275639	-33,4501501528388	-42,034383731355	-34,0978013315288	-10,8891246895256	-24,463300345483	-11,0841456563917
98,0000001192093	-11,5596489052227	-11,621853645142	-25,6791445407024	-11,7959259853147	-33,3782823630388	-42,0855387663647	-34,0064702046718	-11,1169162668659	-24,5424239994567	-11,3188891407728
98,1000001206994	-11,9801227942447	-11,8652285493492	-25,7626760041959	-12,0459647024472	-33,3101221620541	-42,1407137305893	-33,9194264650823	-11,3493618781974	-24,6261840091577	-11,5585413650813
98,2000001221895	-12,4172218245804	-12,1132810334698	-25,8507573537481	-12,3009472955235	-33,2456545008066	-42,1998934605376	-33,8366368363033	-11,5866082515346	-24,7145798693883	-11,8032663974553
98,3000001236796	-12,8722362703975	-12,3661455369995	-25,9433821390578	-12,5610259702731	-33,1848634052064	-42,2630584130542	-33,758068276125	-11,8288131005755	-24,8076116150682	-12,0532413647772
98,4000001251698	-13,3466324871528	-12,6239654074254	-26,0405445868663	-12,8263637772338	-33,1277319039029	-42,3301838351844	-33,6836878980221	-12,0761437884234	-24,90527978046	-12,3086552791546
98,5000001266599	-13,8420866174968	-12,8868962069262	-26,1422383311977	-13,0971383621044	-33,074241962674	-42,4012388895198	-33,6134628958584	-12,3287802223194	-25,0075843274973	-12,569712407355
98,60000012815	-14,3605267846825	-13,1551053294525	-26,2484577395192	-13,3735417826302	-33,0243744252016	-42,4761857335773	-33,5473604717786	-12,5869143861622	-25,1145255644719	-12,8366320423992
98,7000001296401	-14,9041864753963	-13,4287726810389	-26,3591950773104	-13,6557816841737	-32,9781089599275	-42,5549785521741	-33,4853477671347	-12,8507509503568	-25,2261017240042	-13,1096496461983
98,8000001311302	-15,4756728739643	-13,708093308726	-26,4744428865077	-13,9440843271603	-32,9354240126289	-42,6375625423384	-33,4273917962228	-13,1205094356344	-25,3423107574981	-13,3890194646735
98,9000001326203	-16,0780554735953	-13,9932771987472	-26,5941925990503	-14,2386948935047	-32,8962967642817	-42,723872851063	-33,3734593825226	-13,3964238647196	-25,4631492684502	-13,6750147180165
99,0000001341105	-16,7149826440007	-14,2845516030407	-26,7184336289406	-14,539880523985	-32,8607030937086	-42,8138334672223	-33,3235170970543	-13,6787446086865	-25,5886113467783	-13,9679302246036
99,1000001356006	-17,390837457845	-14,5821625363157	-26,8471550338613	-14,8479324356933	-32,8286175444267	-42,9073560702624	-33,2775311983778	-13,9677394198896	-25,7186899925686	-14,268084101545
99,2000001370907	-18,1109497972405	-14,8863762408546	-26,9803415968158	-15,1631684648414	-32,8000132950194	-43,0043388398888	-33,2354675736701	-14,2636943435389	-25,853373537744	-14,5758198076511
99,3000001385808	-18,8818910466478	-15,1974808559456	-27,1179770523582	-15,4859355430031	-32,7748621322647	-43,1046652329766	-33,1972916802237	-14,5669146992135	-25,9926482432181	-14,8915079923261
99,4000001400709	-19,7118932452745	-15,5157889953792	-27,2600423461892	-15,8166136237224	-32,753134426149	-43,2082027363409	-33,1629684866138	-14,8777265754152	-26,1364966921492	-15,2155493721468
99,500000141561	-20,611461646501	-15,8416400453078	-27,4065140577029	-16,1556195557825	-32,7347991057906	-43,3148016068962	-33,1324624126806	-15,1964782460735	-26,2848960392483	-15,5483777940101
99,6000001430511	-21,5942987677656	-16,1754015661353	-27,5573649536254	-16,5034101302662	-32,7198236351876	-43,4242936141256	-33,1057372673772	-15,5235399966641	-26,4378185087857	-15,8904616868624
99,7000001445413	-22,678751752483	-16,5174747895486	-27,7125622884551	-16,8604900538776	-32,7081739875955	-43,5364908037042	-33,0827561834314	-15,8593077574391	-26,5952293089643	-16,2423102064468
99,8000001460314	-23,8901846513105	-16,8682940453517	-27,8720684191173	-17,2274136627067	-32,6998146172244	-43,6511843055762	-33,0634815476731	-16,2042005891741	-26,7570872813379	-16,6044729051143
99,9000001475215	-25,2650902624183	-17,2283335770966	-28,0358401766345	-17,6047952543443	-32,6947084268416	-43,7681432147425	-33,0478749257807	-16,5586642606695	-26,9233436836324	-16,9775467096241
100,000000149012	-26,858739629905	-17,5981086460845	-28,2038249021687	-17,9933142825731	-32,6928167297587	-43,8871135784154	-33,0358969801124	-16,923169077068	-27,0939388174721	-17,3621775167009
100,100000150502	-28,7607960555136	-17,9781817565942	-28,3759649200324	-18,3937262824364	-32,6940992045861	-44,0078175289042	-33,0275073791999	-17,2982112932272	-27,2688050599145	-17,7590658828586
100,200000151992	-31,1315310759179	-18,3691653831922	-28,5521907934644	-18,8068722058559	-32,698513841055	-44,1299526074316	-33,0226646974115	-17,6843097619184	-27,4478608844727	-18,1689693881739
100,300000153482	-34,3034023425702	-18,7717279466241	-28,732423028086	-19,2336921047121	-32,7060168751373	-44,2531913297738	-33,0213263032248	-18,0820043829839	-27,6310120022787	-18,5927074929112
100,400000154972	-39,1748783566624	-19,186597371803	-28,9165713291722	-19,6752383802673	-32,7165627116434	-44,3771810498005	-33,0234482345038	-18,4918500173184	-27,8181499255369	-19,0311631028166
100,500000156462	-50,6072576791234	-19,6145673607753	-29,104530605354	-20,132695100755	-32,7301038324566	-44,5015441812146	-33,0289850591472	-18,9144091037053	-28,0091482778228	-19,4852847977861
100,600000157952	-46,2423392306152	-20,0565036605705	-29,2961820221117	-20,6074003734934	-32,7465906885662	-44,6258788404789	-33,0378897194677	-19,3502413885365	-28,2038630312833	-19,9560875505602
100,700000159442	-38,0827005625108	-20,5133443644886	-29,4913901579513	-21,1008672011236	-32,7659715741017	-44,749759974437	-33,0501133586836	-19,7998824992405	-28,402129454556	-20,4446437166112
100,800000160933	-34,0501012934302	-20,9861079321511	-29,6899990177631	-21,6148197525537	-32,7881924806565	-44,8727410337535	-33,0656051279608	-20,2638227189749	-28,6037580580252	-20,9520773402761
100,900000162423	-31,3802892945197	-21,4758921660029	-29,8918353128177	-22,1512271849498	-32,8131969303185	-44,9943562472982	-33,0843119725292	-20,7424675539918	-28,8085369211429	-21,479539484306
